"Country","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016",
"Belize","BLZ","Employers, total (% of total employment)","SL.EMP.MPYR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.3500003814697","26.0499992370605","6.13000011444092","7.44000005722046","31.0799999237061","","","","","","","","7.05999994277954","","","","","","","","","","6.40000009536743","",
"Benin","BEN","Employers, total (% of total employment)","SL.EMP.MPYR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.16999995708466","","","","","","",
"Bermuda","BMU","Employers, total (% of total employment)","SL.EMP.MPYR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.73000001907349","3.49000000953674","","9.73999977111816","","","","",
"Bhutan","BTN","Employers, total (% of total employment)","SL.EMP.MPYR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.30999994277954","","","","0.259999990463257","0.119999997317791","0.219999998807907","0.0700000002980232","","","","",
"Bolivia","BOL","Employers, total (% of total employment)","SL.EMP.MPYR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.1800000667572","3.54999995231628","4.28000020980835","5.55999994277954","6.32999992370605","7.6100001335144","7.78999996185303","8.15999984741211","7.09999990463257","","2.94000005722046","1.94000005722046","2.21000003814697","4.44999980926514","","4.76999998092651","5.28000020980835","4.42000007629395","5.40000009536743","","","","5.78999996185303","","5.55999994277954","8.02999973297119","","",
"Bosnia and Herzegovina","BIH","Employers, total (% of total employment)","SL.EMP.MPYR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21.7000007629395","22.5900001525879","22.1299991607666","","","","","","4.57999992370605","4.01000022888184","",
"Botswana","BWA","Employers, total (% of total employment)","SL.EMP.MPYR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.8500003814697","","13.1599998474121","3.63000011444092","","12.1800003051758","","","3.73000001907349","","","","2.72000002861023","","","2.42000007629395","","","",
"Brazil","BRA","Employers, total (% of total employment)","SL.EMP.MPYR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.89000010490417","4.21999979019165","4.23999977111816","4.19999980926514","4.1100001335144","4.23000001907349","4.44999980926514","3.75999999046326","","4.30999994277954","","3.40000009536743","3.75999999046326","3.75","3.75","","",
"British Virgin Islands","VGB","Employers, total (% of total employment)","SL.EMP.MPYR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.82999992370605","","","","","","","","","","","","","","","","","","","","","","","","","",
"Brunei Darussalam","BRN","Employers, total (% of total employment)","SL.EMP.MPYR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.949999988079071","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bulgaria","BGR","Employers, total (% of total employment)","SL.EMP.MPYR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.34999990463257","3.60999989509583","3.35999989509583","3.58999991416931","3.80999994277954","3.83999991416931","3.94000005722046","4.05000019073486","3.66000008583069","3.49000000953674","3.6800000667572","3.63000011444092","3.55999994277954","3.92000007629395","3.80999994277954","3.5699999332428","",
"Burkina Faso","BFA","Employers, total (% of total employment)","SL.EMP.MPYR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.790000021457672","","","","","","","","","","",
"Burundi","BDI","Employers, total (% of total employment)","SL.EMP.MPYR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0700000002980232","0.0700000002980232","0.0700000002980232","0.0700000002980232","0.0700000002980232","0.219999998807907","0.219999998807907","0.219999998807907","","","","","","",
"Cabo Verde","CPV","Employers, total (% of total employment)","SL.EMP.MPYR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.51999998092651","","","","","","","","","","","","","","","","",
"Cambodia","KHM","Employers, total (% of total employment)","SL.EMP.MPYR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.230000004172325","","","","0.170000001788139","0.129999995231628","","","0.219999998807907","","","","","","0.159999996423721","","0.400000005960464","","0.200000002980232","","",
"Cameroon","CMR","Employers, total (% of total employment)","SL.EMP.MPYR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.52999997138977","","","","","1.62000000476837","","","","","","","","","3.26999998092651","","","","","","",
"Canada","CAN","Employers, total (% of total employment)","SL.EMP.MPYR.ZS","","","","","","","","","","","","","","","","","4.51999998092651","4.75","4.73000001907349","4.78000020980835","4.92999982833862","5.21000003814697","5.76000022888184","6.03999996185303","5.71999979019165","6.15999984741211","6.01000022888184","5.96000003814697","6.15000009536743","6.1100001335144","6.09000015258789","6.48000001907349","6.42000007629395","6.44999980926514","6.1399998664856","6.19000005722046","6.05999994277954","5.94999980926514","5.76000022888184","5.75","5.55000019073486","5.28000020980835","5.13000011444092","5.1100001335144","5.26000022888184","5.38000011444092","5.19999980926514","5.07999992370605","5.11999988555908","5.1100001335144","5.01999998092651","4.8600001335144","4.71000003814697","4.73000001907349","4.63000011444092","4.75","4.59999990463257",
"Cayman Islands","CYM","Employers, total (% of total employment)","SL.EMP.MPYR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.2299995422363","3.73000001907349","5.21000003814697","","4.26000022888184","4.05999994277954","4.32000017166138","4.71999979019165","4.84999990463257","4.15000009536743","",
"Central African Republic","CAF","Employers, total (% of total employment)","SL.EMP.MPYR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chad","TCD","Employers, total (% of total employment)","SL.EMP.MPYR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
